date,date_approx,site_group,site_bucket,vis_ft_low,vis_ft_high,vis_ft_mid
2020-05-27,0,Breakwater,bay_shore,20,25,22.5
2020-06-27,0,Wharf,bay_shore,10,15,12.5
2020-07-11,0,Butterfly House / Carmel River,carmel_shore,40,40,40
2020-07-26,0,Wharf,bay_shore,20,20,20
2020-08-09,0,McAbee,bay_shore,6,45,25.5
2020-08-15,0,Point Lobos,lobos,5,30,17.5
2020-08-15,0,South Monastery,carmel_shore,25,30,27.5
2020-08-17,0,North Monastery,carmel_shore,30,40,35
2020-09-04,0,Lovers Point,bay_shore,21,21,21
2020-09-11,0,Shale Island,boat,40,40,40
2020-09-13,0,Breakwater,bay_shore,40,40,40
2020-09-18,0,Breakwater,bay_shore,20,30,25
2020-09-18,0,Breakwater,bay_shore,10,15,12.5
2020-10-03,0,Monastery,carmel_shore,25,25,25
2020-10-31,0,Breakwater,bay_shore,10,15,12.5
2020-12-23,0,Breakwater,bay_shore,30,30,30
2021-01-24,0,Breakwater,bay_shore,20,20,20
2021-01-31,0,Breakwater,bay_shore,30,30,30
2021-02-12,0,Soberanes,boat,25,30,27.5
2021-02-27,0,Breakwater,bay_shore,5,10,7.5
2021-03-06,0,Breakwater,bay_shore,5,8,6.5
2021-04-25,0,San Carlos / Breakwater,bay_shore,10,15,12.5
2021-04-26,0,Wharf,bay_shore,20,20,20
2021-04-26,0,Breakwater,bay_shore,20,20,20
2021-06-19,0,San Carlos / Breakwater,bay_shore,3,3,3
2021-08-11,0,Lovers Point,bay_shore,40,40,40
2021-08-13,0,Aumentos,boat,20,20,20
2021-08-13,0,Cabrillo Point,boat,20,20,20
2021-12-19,0,North Monastery,carmel_shore,60,60,60
2022-02-25,0,Eric's Pinnacle,boat,12,12,12
2022-02-25,0,VT 3,boat,12,12,12
2022-03-03,0,Point Lobos / Beto's,lobos,15,15,15
2022-10-02,0,Breakwater,bay_shore,30,30,30
2022-10-29,0,Santa Cruz (outside Monterey),boat,1,1,1
2022-11-05,0,Lovers Point,bay_shore,20,40,30
2022-11-06,0,Breakwater,bay_shore,10,20,15
2023-09-17,0,Lovers Point,bay_shore,25,25,25
2023-09-17,0,Otter Cove,boat,25,30,27.5
2020-10-23,0,Breakwater,bay_shore,3,5,4
2020-10-16,0,Breakwater,bay_shore,10,15,12.5
2020-10-09,0,Breakwater,bay_shore,10,15,12.5
2020-10-09,0,Breakwater,bay_shore,10,15,12.5
2020-10-02,0,Breakwater,bay_shore,10,15,12.5
2020-08-29,0,Metridium Mountain,boat,5,35,20
2020-08-29,0,Breakwater,bay_shore,30,30,30
2020-03-21,0,Butterfly House / Carmel River,carmel_shore,30,40,35
2020-09-06,0,Metridium Mountain,boat,20,20,20
2020-10-18,0,Metridium Mountain,boat,10,10,10
2023-07-29,0,Point Lobos,lobos,40,40,40
2023-03-11,0,Breakwater,bay_shore,10,10,10
2022-01-25,0,Breakwater,bay_shore,40,40,40
2022-03-13,0,Stillwater Cove,carmel_shore,15,15,15
2022-05-07,0,McAbee,bay_shore,5,5,5
2022-06-03,0,Breakwater,bay_shore,10,15,12.5
2022-07-26,0,Lovers Point,bay_shore,15,15,15
2022-09-25,0,Point Lobos,lobos,10,40,25
2023-06-24,0,Carmel,carmel_shore,80,80,80
2023-12-18,0,Aquarium Reef,boat,40,40,40
2020-09-13,0,Carmel,carmel_shore,30,30,30
2020-09-19,0,Breakwater,bay_shore,40,40,40
2020-06-13,0,Carmel,carmel_shore,70,70,70
2020-08-08,0,Wharf,bay_shore,15,15,15
2020-11-22,0,Breakwater,bay_shore,15,15,15
2020-11-22,0,Breakwater,bay_shore,10,10,10
2020-03-14,0,Breakwater,bay_shore,40,50,45
2020-11-03,0,Metridium Mountain,boat,25,25,25
2020-09-18,0,Point Pinos,boat,25,25,25
2020-08-02,0,Breakwater,bay_shore,10,15,12.5
2020-08-02,0,Hidden Beach,boat,8,8,8
2020-02-16,0,Copper Roof,boat,10,20,15
2020-01-05,0,Breakwater,bay_shore,5,15,10
2020-11-28,0,Monastery,carmel_shore,50,50,50
2023-04-28,0,Point Lobos,lobos,30,30,30
2023-12-18,0,Aquarium Reef,boat,40,40,40
2023-12-12,1,Point Lobos,lobos,30,30,30
2023-12-02,1,Point Lobos,lobos,10,30,20
2023-11-16,1,McAbee,bay_shore,10,30,20
2023-09-18,1,Breakwater,bay_shore,20,20,20
2023-09-09,0,Breakwater,bay_shore,15,40,27.5
2023-08-04,1,Breakwater,bay_shore,20,20,20
2023-06-23,1,Breakwater,bay_shore,5,15,10
2023-03-20,1,Wharf,bay_shore,20,30,25
2023-03-19,1,Point Lobos,lobos,20,60,40
2023-02-25,1,Tanker's Reef,boat,7,7,7
2023-01-21,1,McAbee,bay_shore,1,5,3
2026-01-10,0,Cabrillo Point,boat,10,10,10
2026-01-10,0,Tanker's Reef,boat,5,5,5
2025-06-22,0,Shale Island,boat,30,30,30
2025-06-22,0,Cabrillo Point,boat,15,15,15
2024-11-16,0,Mr. Ed,boat,3,3,3
2024-10-20,0,Aumentos,boat,25,30,27.5
2024-10-20,0,Tanker's Reef,boat,20,25,22.5
2024-07-06,0,Mr. Ed,boat,10,10,10
2024-07-06,0,Shale Island,boat,10,10,10
2024-06-30,0,Aumentos,boat,30,30,30
2023-02-11,0,Breakwater,bay_shore,10,15,12.5
2023-01-21,0,McAbee,bay_shore,1,2,1.5
2023-02-25,0,Tanker's Reef,boat,7,7,7
2023-03-12,0,Breakwater,bay_shore,15,20,17.5
2023-03-20,0,Wharf,bay_shore,20,20,20
2023-03-20,0,Metridium Mountain,boat,30,30,30
2023-06-09,0,Tanker's Reef,boat,20,30,25
2023-07-16,0,McAbee,bay_shore,10,30,20
2023-08-04,0,Breakwater,bay_shore,20,20,20
2023-09-09,0,Breakwater,bay_shore,15,40,27.5
2023-11-16,0,Metridium Mountain,boat,30,30,30
2023-11-16,0,McAbee,bay_shore,10,10,10
2023-11-17,0,Breakwater,bay_shore,30,30,30
2023-12-02,0,Point Lobos,lobos,10,15,12.5
2023-12-12,0,Point Lobos,lobos,30,30,30
2024-06-30,0,Aumentos,boat,30,30,30
2024-06-30,0,Eric's Pinnacle,boat,30,30,30
2024-09-02,0,Mr. Ed,boat,25,25,25
2024-09-02,0,Tanker's Reef,boat,20,20,20
2025-02-08,0,Mr. Ed,boat,40,40,40
2025-02-08,0,Metridium Mountain,boat,40,40,40
2025-06-22,0,Cabrillo Point,boat,15,15,15
2025-12-06,0,Metridium Mountain,boat,40,40,40
2025-12-06,0,McAbee,bay_shore,30,30,30
2026-01-01,0,Mr. Ed,boat,40,50,45
2026-01-01,0,Tanker's Reef,boat,30,30,30
2025-06-22,0,Cabrillo Point,boat,15,15,15
2025-09-27,0,Mt Chetron,boat,15,15,15
2025-09-27,0,Metridium Mountain,boat,15,15,15
2024-06-30,0,Aumentos,boat,30,30,30
2024-12-07,0,Metridium Mountain,boat,40,40,40
2024-12-07,0,Breakwater,bay_shore,30,30,30
2024-11-02,0,Breakwater,bay_shore,5,10,7.5
2021-05-29,0,Breakwater,bay_shore,5,5,5
2021-01-15,0,Breakwater,bay_shore,10,10,10
2017-12-31,0,Outer Chase Reef,boat,50,50,50
2018-10-06,0,Mola Mountain,boat,35,35,35
2019-06-11,0,McAbee,bay_shore,30,40,35
2019-06-16,0,McAbee,bay_shore,20,30,25
2019-06-28,0,McAbee,bay_shore,20,50,35
2019-07-13,0,McAbee,bay_shore,30,40,35
2019-07-20,0,Eric's Pinnacle,boat,10,20,15
2019-09-21,0,Aquarium Reef,boat,20,20,20
2019-10-12,0,Breakwater,bay_shore,10,10,10
2019-10-26,0,Lotta Bull,boat,30,30,30
2019-11-15,0,Metridium Mountain,boat,20,20,20
2021-01-15,0,Metridium Mountain,boat,10,10,10
2021-09-18,0,Breakwater,bay_shore,15,20,17.5
2021-11-03,0,Wharf,bay_shore,10,15,12.5
2022-08-26,0,Metridium Mountain,boat,30,40,35
2022-10-14,0,Metridium Mountain,boat,20,20,20
2022-11-12,0,Aumentos,boat,50,50,50
2021-06-12,0,Breakwater,bay_shore,10,10,10
2019-11-02,0,Back Wall,boat,15,15,15
2018-05-19,0,Lovers Point,bay_shore,15,20,17.5
2018-02-03,0,The Needle,boat,70,70,70
2022-10-29,0,McMuffin Beach,boat,10,10,10
2022-06-03,0,Bottles,boat,20,20,20
2021-05-31,0,Breakwater,bay_shore,5,5,5
2021-03-27,0,Breakwater,bay_shore,15,15,15
2019-08-31,0,Aumentos,boat,80,80,80
2019-08-03,0,Cabrillo Point,boat,70,70,70
2019-11-30,0,Cabrillo Point,boat,60,80,70
2019-01-15,0,Breakwater,bay_shore,25,30,27.5
2020-11-01,0,Lovers Point,bay_shore,10,15,12.5
2022-01-07,0,Aumentos,boat,40,40,40
2022-01-07,0,Erics Pinnacle,boat,30,30,30
2022-02-20,0,Breakwater,bay_shore,20,20,20
2022-04-29,0,Breakwater,bay_shore,20,20,20
2022-04-29,0,Breakwater,bay_shore,20,20,20
2022-05-13,0,Shale Island,boat,15,15,15
2022-05-13,0,Erics Pinnacle,boat,15,15,15
2022-05-13,0,Outer Chase Reef,boat,40,40,40
2022-05-20,0,Metridium Mountain,boat,10,10,10
2022-05-20,0,McAbee,bay_shore,15,15,15
2022-06-27,0,Breakwater,bay_shore,10,15,12.5
2022-07-02,0,Erics Pinnacle,boat,20,20,20
2022-07-02,0,Metridium Mountain,boat,30,30,30
2022-07-08,0,Metridium Mountain,boat,25,25,25
2022-07-08,0,McAbee,bay_shore,20,20,20
2022-08-05,0,Brians Crack,boat,25,25,25
2022-08-05,0,Shale Island,boat,20,20,20
2022-09-05,0,Erics Pinnacle,boat,50,50,50
2022-09-05,0,Metridium Mountain,boat,40,50,45
2022-09-07,0,Tankers Reef,boat,20,25,22.5
2022-10-22,0,Breakwater,bay_shore,20,20,20
2022-10-22,0,Metridium Mountain,boat,20,20,20
2022-11-11,0,Metridium Mountain,boat,50,50,50
2022-11-11,0,McAbee,bay_shore,40,50,45
2022-12-02,0,Metridium Mountain,boat,20,20,20
2022-12-02,0,McAbee,bay_shore,15,20,17.5
2024-10-12,1,Breakwater,bay_shore,20,20,20
2024-04-20,0,Crest Wall,boat,40,40,40
2024-12-21,0,Off Course,boat,40,40,40
2024-10-26,0,Cloud Mountain,boat,15,15,15
2024-12-07,0,Off Course,boat,40,40,40
2024-05-25,0,Crest Wall,boat,50,50,50
2024-05-18,0,Shale Island,boat,10,10,10
2024-02-24,0,Mr Ed,boat,20,20,20
2024-06-29,0,Aumentos,boat,20,20,20
2024-11-02,0,Octopus Reef,boat,5,5,5
2024-10-19,0,Bottles,boat,40,40,40
2024-02-10,0,Mr Ed,boat,20,20,20
2024-05-27,0,Mr Ed,boat,30,30,30
2018-06-28,0,McAbee,bay_shore,20,30,25
2018-06-28,0,McAbee,bay_shore,20,30,25
2018-09-01,1,Lovers Point,bay_shore,20,20,20
2018-11-09,0,Breakwater,bay_shore,20,25,22.5
2019-06-30,0,Monastery,carmel_shore,25,35,30
2026-02-07,0,Mt Chetron,boat,20,20,20
2023-05-08,0,unknown,boat,10,20,15
2021-06-25,1,Tankers Reef,boat,10,10,10
2025-04-20,0,Tankers Reef,boat,10,10,10
2025-04-19,0,Mr Ed,boat,20,20,20
2025-04-19,0,Shale Island,boat,15,15,15
2025-10-11,0,unknown,boat,15,15,15
